CellName	FUNC.UHN	CNV.UHN	MUT.UHN	GEXP.UHN	PHOS.UHN	CNV.SANGER	MUT.SANGER	GEXP.SANGER	METH.SANGER	DSS.SANGER	PEXP.SANGER	PHOS.SANGER	FUNC.SANGER	FUNC.BROAD_ACHILLES	FUNC.BROAD_AVANA	FUNC.BROAD_GECKO	FUNC.BROAD_AML	CNV.BROAD	MUT.BROAD	GEXP.BROAD	PEXP.BROAD	PHOS.BROAD	METH.BROAD	DSS.BROAD_CCLE	DSS.BROAD_CTRP	CNV.NCI60	MUT.NCI60	GEXP.NCI60	PEXP.NCI60	PHOS.NCI60	METH.NCI60	CNV.OHSU	MUT.OHSU	GEXP.OHSU	PHOS.OHSU	METH.OHSU	DSS.OHSU	CNV.gCSI	MUT.gCSI	GEXP.gCSI	DSS.gCSI	FUNC.DRIVE	PHOS.MCLP	PEXP.MGHCC_BREAST	PEXP.MPIB_HGSOC	PEXP.UW_TNBC	DSS.FIMM	TAS.SANGER	TAS.BROAD	TAS.BROAD.1	TAS.OHSU	TAS.gCSI	TAS.FIMM	TotalViewCount_Drug	TotalViewCount	FUNC.ViewCount	MUT.ViewCount	CNV.ViewCount	GEXP.ViewCount	PEXP.ViewCount	PHOS.ViewCount	METH.ViewCount	DSS.ViewCount	TAS.ViewCount	TotalViewCount_Binary
A704	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	15	13	2	2	2	2	1	2	2	1	1	9
ABC1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	20	17	3	3	3	3	1	1	2	2	2	9
ABL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
ACCMESO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	9	8	2	1	1	1	0	1	1	1	1	8
ACCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1
ACHN	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	29	25	2	4	4	4	1	3	3	4	4	9
ACN	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	4	0	1	1	0	0	0	1	1	1	5
AGS	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	24	21	4	3	3	3	1	2	2	3	3	9
ALLPO	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	7	0	2	2	1	0	0	1	1	1	6
ALLSIL	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	14	11	0	2	2	2	0	0	2	3	3	6
AM38	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	17	15	2	2	2	2	0	1	2	3	3	8
AML193	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	7	1	1	1	1	0	1	1	1	1	8
AMO1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	22	18	1	3	3	3	0	2	2	4	4	8
AN3CA	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	21	18	1	3	3	3	0	2	1	4	4	8
ANGMCSS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	2
ARH77	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	8	1	2	2	1	0	0	1	1	1	7
ARK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
ARK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
ASH3	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	7	0	2	2	1	0	0	1	1	1	6
ASKA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	1	1	2
